FileType = repricing,  Version = 1.2.2 (Please do not edit this line or this will result in error when uploading)
Channel	SellerSKU	Cost	Rule Name	Min Price	Max Price	Shipping	add-delete	Group	Enable Repricing
Amazon US	0S-QVEJ-PF1T		0-10$	49.52	11000000	0		123	1
Amazon US	EP-QRU2-CUZ0		0-10$	42.1	11000000	0		123	1
Amazon US	EP-EAHI-XBT9		0-10$	59.23	11000000	0		123	1
Amazon US	UW-A6EA-OCD6		0-10$	12.85	11000000	0		123	1
Amazon US	FZ-EGO5-DK9D		0-10$	38.5	11000000	0		123	1
Amazon US	4C-RCQZ-DE1V		0-10$	88.73	11000000	0		123	1
Amazon US	ZB-9RKN-NQ9G		0-10$	108.89	11000000	0		123	1
Amazon US	6W-6BXZ-IZFY		0-10$	227.2	11000000	0		123	1
Amazon US	PS-U1HD-76C9		0-10$	44.79	11000000	0		123	1
Amazon US	TG-7B7Q-4KF1		0-10$	28.75	11000000	0		123	1
Amazon US	GR-DPBM-TWAD		0-10$	61.26	11000000	0		123	1
Amazon US	KU-3WFA-E7RV		0-10$	76.2	11000000	0		123	1
Amazon US	VI-FDA3-BUTN		0-10$	9.8	11000000	0		123	1
Amazon US	J0-DR13-JWI8		0-10$	33.27	11000000	0		123	1
Amazon US	EB-Y7Y5-2ZIN		0-10$	59.02	11000000	0		123	1
Amazon US	I9-TH91-CZY8		0-10$	25.02	11000000	0		123	1
Amazon US	N4-5WH1-6G2Z		0-10$	22.45	11000000	0		123	1
Amazon US	WU-MRXY-Q4WO		0-10$	30.33	11000000	0		123	1
Amazon US	55-B1B9-2YKL		0-10$	37.01	11000000	0		123	1
Amazon US	3S-3XJX-74VW		0-10$	297.47	11000000	0		123	1
Amazon US	GV-D8LM-GA52		0-10$	64.27	11000000	0		123	1
Amazon US	Q1-F3D5-UMNE		0-10$	15.77	11000000	0		123	1
Amazon US	Y4-MUXG-MYJV		0-10$	11.32	11000000	0		123	1
Amazon US	UI-EOUP-8LDL		0-10$	126.48	11000000	0		123	1
Amazon US	RX-4YQQ-WGFA		0-10$	110.68	11000000	0		123	1
Amazon US	SN-M31I-Z2V5		0-10$	120.71	11000000	0		123	1
Amazon US	FF-CPMS-W4W3		0-10$	105.95	11000000	0		123	1
Amazon US	IS-6FZ3-JRX5		0-10$	70.98	11000000	0		123	1
Amazon US	KK-GZ9S-ED94		0-10$	17.08	11000000	0		123	1
Amazon US	CN-75B4-TT3E		0-10$	15.9	11000000	0		123	1
Amazon US	85-UMJL-ZCVO		0-10$	62.68	11000000	0		123	1
Amazon US	2Q-P4Y4-CL0Z		0-10$	52.39	11000000	0		123	1
Amazon US	MB-JYOH-PUH3		0-10$	66.13	11000000	0		123	1
Amazon US	OV-770Y-W8Q9		0-10$	8.93	11000000	0		123	1
Amazon US	IE-8MTX-S9YH		0-10$	39.03	11000000	0		123	1
Amazon US	MW-RMY3-K74V		0-10$	9.01	11000000	0		123	1
Amazon US	HS-QSDR-0ELU		0-10$	25.22	11000000	0		123	1
Amazon US	KS-Z2HW-HOSK		0-10$	12.37	11000000	0		123	1
Amazon US	45-4QFJ-BRES		0-10$	14.65	11000000	0		123	1
Amazon US	K0-7SLJ-GFEK		0-10$	37.47	11000000	0		123	1
Amazon US	07-FH68-2F64		0-10$	74.09	11000000	0		123	1
Amazon US	2O-ISO8-I4EM		0-10$	29.83	11000000	0		123	1
Amazon US	8W-9B4B-0NHU		0-10$	52.69	11000000	0		123	1
Amazon US	1K-T6MC-2KTD		0-10$	136.28	11000000	0		123	1
Amazon US	3V-I1HG-7J44		0-10$	51.36	11000000	0		123	1
Amazon US	U7-WYBT-UWZ6		0-10$	14.31	11000000	0		123	1
Amazon US	EO-TA1A-ON1U		0-10$	35.27	11000000	0		123	1
Amazon US	V8-PPBE-EQ0G		0-10$	23.88	11000000	0		123	1
Amazon US	OK-37X2-I48D		0-10$	20.34	11000000	0		123	1
Amazon US	V5-0ID8-HOEU		0-10$	30.53	11000000	0		123	1
Amazon US	QK-43CV-UCL2		0-10$	225.04	11000000	0		123	1
Amazon US	3I-23N4-C6G6		0-10$	12.14	11000000	0		123	1
